date,days_to_opening,cumulative,daily_added
2026-05-05,-115,4,4
2026-05-06,-114,6,2
2026-05-07,-113,6,0
2026-05-08,-112,6,0
2026-05-09,-111,6,0
2026-05-10,-110,6,0
2026-05-11,-109,6,0
2026-05-12,-108,6,0
2026-05-13,-107,6,0
2026-05-14,-106,8,2
2026-05-15,-105,8,0
2026-05-16,-104,8,0
2026-05-17,-103,8,0
2026-05-18,-102,8,0
2026-05-19,-101,8,0
2026-05-20,-100,8,0
2026-05-21,-99,10,2
2026-05-22,-98,10,0
2026-05-23,-97,10,0
2026-05-24,-96,10,0
2026-05-25,-95,10,0
2026-05-26,-94,44,34
2026-05-27,-93,50,6
2026-05-28,-92,54,4
2026-05-29,-91,55,1
2026-05-30,-90,55,0
2026-05-31,-89,55,0
2026-06-01,-88,59,4
2026-06-02,-87,59,0
2026-06-03,-86,103,44
2026-06-04,-85,105,2
2026-06-05,-84,115,10
2026-06-06,-83,115,0
2026-06-07,-82,115,0
2026-06-08,-81,140,25
2026-06-09,-80,162,22
2026-06-10,-79,179,17
2026-06-11,-78,230,51
2026-06-12,-77,230,0
2026-06-13,-76,255,25
2026-06-14,-75,255,0
2026-06-15,-74,255,0
2026-06-16,-73,302,47
2026-06-17,-72,329,27
2026-06-18,-71,335,6
2026-06-19,-70,335,0
2026-06-20,-69,362,27
2026-06-21,-68,387,25
2026-06-22,-67,387,0
2026-06-23,-66,427,40
2026-06-24,-65,443,16
2026-06-25,-64,450,7
2026-06-26,-63,454,4
2026-06-27,-62,456,2
2026-06-28,-61,458,2
2026-06-29,-60,460,2
2026-06-30,-59,460,0
2026-07-01,-58,476,16
2026-07-02,-57,481,5
2026-07-03,-56,483,2
2026-07-04,-55,483,0
2026-07-05,-54,483,0
2026-07-06,-53,489,6
2026-07-07,-52,495,6
2026-07-08,-51,506,11
2026-07-09,-50,516,10
2026-07-10,-49,522,6
2026-07-11,-48,524,2
2026-07-12,-47,524,0
2026-07-13,-46,531,7
2026-07-14,-45,531,0
2026-07-15,-44,533,2
2026-07-16,-43,538,5
2026-07-17,-42,546,8
2026-07-18,-41,546,0
2026-07-19,-40,546,0
2026-07-20,-39,546,0
2026-07-21,-38,550,4
2026-07-22,-37,559,9
2026-07-23,-36,564,5
2026-07-24,-35,565,1
2026-07-25,-34,568,3
2026-07-26,-33,574,6
2026-07-27,-32,576,2
2026-07-28,-31,586,10
2026-07-29,-30,592,6
2026-07-30,-29,593,1
2026-07-31,-28,607,14
2026-08-01,-27,608,1
2026-08-02,-26,608,0
2026-08-03,-25,618,10
2026-08-04,-24,633,15
2026-08-05,-23,643,10
2026-08-06,-22,651,8
2026-08-07,-21,657,6
2026-08-08,-20,659,2
2026-08-09,-19,663,4
2026-08-10,-18,663,0
2026-08-11,-17,670,7
2026-08-12,-16,679,9
2026-08-13,-15,703,24
2026-08-14,-14,710,7
2026-08-15,-13,714,4
2026-08-16,-12,717,3
2026-08-17,-11,726,9
2026-08-18,-10,737,11
2026-08-19,-9,743,6
2026-08-20,-8,752,9
2026-08-21,-7,773,21
2026-08-22,-6,782,9
2026-08-23,-5,788,6
2026-08-24,-4,792,4
2026-08-25,-3,808,16
2026-08-26,-2,818,10
2026-08-27,-1,843,25
2026-08-28,0,876,33
2026-08-29,1,913,37
2026-08-30,2,920,7
2026-08-31,3,938,18
2026-09-01,4,966,28
2026-09-02,5,982,16
2026-09-03,6,1002,20
2026-09-04,7,1025,23
2026-09-05,8,1048,23
2026-09-06,9,1065,17
2026-09-07,10,1078,13
2026-09-08,11,1094,16
2026-09-09,12,1108,14
2026-09-10,13,1126,18
2026-09-11,14,1139,13
2026-09-12,15,1151,12
2026-09-13,16,1154,3
2026-09-14,17,1154,0
2026-09-15,18,1154,0
