date,days_to_opening,cumulative,daily_added
2026-05-05,-115,4,0
2026-05-06,-114,6,2
2026-05-07,-113,6,0
2026-05-08,-112,6,0
2026-05-09,-111,6,0
2026-05-10,-110,6,0
2026-05-11,-109,6,0
2026-05-12,-108,6,0
2026-05-13,-107,6,0
2026-05-14,-106,8,2
2026-05-15,-105,8,0
2026-05-16,-104,8,0
2026-05-17,-103,8,0
2026-05-18,-102,8,0
2026-05-19,-101,8,0
2026-05-20,-100,8,0
2026-05-21,-99,10,2
2026-05-22,-98,10,0
2026-05-23,-97,10,0
2026-05-24,-96,10,0
2026-05-25,-95,10,0
2026-05-26,-94,44,34
2026-05-27,-93,48,4
2026-05-28,-92,52,4
2026-05-29,-91,53,1
2026-05-30,-90,53,0
2026-05-31,-89,53,0
2026-06-01,-88,57,4
2026-06-02,-87,57,0
2026-06-03,-86,101,44
2026-06-04,-85,103,2
2026-06-05,-84,113,10
2026-06-06,-83,113,0
2026-06-07,-82,113,0
2026-06-08,-81,138,25
2026-06-09,-80,160,22
2026-06-10,-79,177,17
2026-06-11,-78,228,51
2026-06-12,-77,228,0
2026-06-13,-76,253,25
2026-06-14,-75,253,0
2026-06-15,-74,253,0
2026-06-16,-73,296,43
2026-06-17,-72,323,27
2026-06-18,-71,329,6
2026-06-19,-70,329,0
2026-06-20,-69,356,27
2026-06-21,-68,381,25
2026-06-22,-67,381,0
2026-06-23,-66,421,40
2026-06-24,-65,437,16
2026-06-25,-64,444,7
2026-06-26,-63,448,4
2026-06-27,-62,450,2
2026-06-28,-61,452,2
2026-06-29,-60,454,2
2026-06-30,-59,454,0
2026-07-01,-58,470,16
2026-07-02,-57,475,5
2026-07-03,-56,477,2
2026-07-04,-55,477,0
2026-07-05,-54,477,0
2026-07-06,-53,482,5
2026-07-07,-52,486,4
2026-07-08,-51,495,9
2026-07-09,-50,505,10
2026-07-10,-49,511,6
2026-07-11,-48,513,2
2026-07-12,-47,513,0
2026-07-13,-46,520,7
2026-07-14,-45,520,0
2026-07-15,-44,522,2
2026-07-16,-43,527,5
2026-07-17,-42,535,8
2026-07-18,-41,535,0
2026-07-19,-40,535,0
2026-07-20,-39,535,0
2026-07-21,-38,539,4
2026-07-22,-37,548,9
2026-07-23,-36,553,5
2026-07-24,-35,554,1
2026-07-25,-34,557,3
2026-07-26,-33,563,6
2026-07-27,-32,565,2
2026-07-28,-31,575,10
2026-07-29,-30,581,6
2026-07-30,-29,582,1
2026-07-31,-28,595,13
2026-08-01,-27,596,1
2026-08-02,-26,596,0
2026-08-03,-25,602,6
2026-08-04,-24,617,15
2026-08-05,-23,619,2
2026-08-06,-22,627,8
2026-08-07,-21,633,6
2026-08-08,-20,635,2
2026-08-09,-19,639,4
2026-08-10,-18,639,0
2026-08-11,-17,646,7
2026-08-12,-16,651,5
2026-08-13,-15,673,22
2026-08-14,-14,680,7
2026-08-15,-13,684,4
2026-08-16,-12,687,3
2026-08-17,-11,694,7
2026-08-18,-10,705,11
2026-08-19,-9,711,6
2026-08-20,-8,717,6
2026-08-21,-7,738,21
2026-08-22,-6,747,9
2026-08-23,-5,753,6
2026-08-24,-4,755,2
2026-08-25,-3,769,14
2026-08-26,-2,777,8
2026-08-27,-1,793,16
2026-08-28,0,817,24
2026-08-29,1,836,19
2026-08-30,2,840,4
2026-08-31,3,851,11
2026-09-01,4,872,21
2026-09-02,5,883,11
2026-09-03,6,900,17
2026-09-04,7,918,18
2026-09-05,8,938,20
2026-09-06,9,948,10
2026-09-07,10,961,13
2026-09-08,11,970,9
2026-09-09,12,978,8
2026-09-10,13,991,13
2026-09-11,14,999,8
2026-09-12,15,1008,9
2026-09-13,16,1009,1
2026-09-14,17,1009,0
2026-09-15,18,1009,0
